HOBO Weather Station - SN 8388608
Time zone: UTC-300 minutes
Date_Time	Pressure_10096011_mbar	Water Temperature_SDI_0_2_F	Sp Cond_SDI_0_3_mS/cm	Salinity_SDI_0_4_ppt	Depth_SDI_0_5_m	pH_SDI_0_6_H+	pH mV_SDI_0_7_V	Turbidity_SDI_0_8_NTU	Chl_SDI_0_9_ug/L	Percent Oxygen_SDI_0_10_%	Concentration Oxygen_SDI_0_11_mg/L	Battery_SDI_0_12_volts	Corrected Depth_SDI_0_12_m	
06/03/19 15:45:00	1010.350	67.760	8.347	4.660	1.478	7.400	-65.300	29.900	2.400	79.700	7.070	11.400	1.505
06/03/19 16:00:00	1010.050	67.830	8.429	4.710	1.468	7.390	-64.800	15.700	1.900	79.500	7.050	11.400	1.498
06/03/19 16:15:00	1010.250	67.950	8.416	4.700	1.477	7.410	-65.700	15.200	2.200	80.400	7.110	11.400	1.505
06/03/19 16:30:00	1010.450	67.950	8.455	4.720	1.509	7.400	-65.100	22.900	3.300	80.200	7.100	11.400	1.535
06/03/19 16:45:00	1010.650	67.960	8.394	4.690	1.559	7.380	-64.100	12.700	2.800	80.300	7.100	11.400	1.583
06/03/19 17:00:00	1010.450	67.880	8.362	4.670	1.643	7.320	-61.500	15.400	2.700	79.600	7.050	11.400	1.669
06/03/19 17:15:00	1010.950	67.930	8.360	4.670	1.724	7.320	-61.400	14.300	2.600	78.600	6.960	11.300	1.745
06/03/19 17:30:00	1011.250	68.120	8.491	4.740	1.802	7.390	-64.800	32.700	1.900	81.800	7.220	11.400	1.820
06/03/19 17:45:00	1011.450	68.010	8.213	4.580	1.889	7.390	-64.500	30.300	3.200	80.900	7.160	11.300	1.905
06/03/19 18:00:00	1011.650	67.950	8.202	4.570	1.970	7.390	-64.700	26.300	3.100	80.700	7.150	11.400	1.984
06/03/19 18:15:00	1012.050	67.900	8.200	4.570	2.049	7.400	-65.000	31.200	2.400	80.900	7.170	11.400	2.059
06/03/19 18:30:00	1012.050	67.830	8.207	4.570	2.136	7.400	-65.000	38.500	3.100	81.200	7.200	11.400	2.146
06/03/19 18:45:00	1012.750	67.740	8.222	4.580	2.227	7.400	-65.300	30.000	3.000	81.200	7.210	11.400	2.230
06/03/19 19:00:00	1012.850	67.830	8.428	4.710	2.314	7.400	-65.300	22.700	2.900	82.600	7.320	11.400	2.316
06/03/19 19:15:00	1013.350	67.940	8.624	4.820	2.411	7.420	-65.900	21.900	2.800	81.900	7.240	11.300	2.407
06/03/19 19:30:00	1013.250	67.940	8.774	4.910	2.500	7.470	-68.500	18.300	2.400	83.400	7.370	11.400	2.497
06/03/19 19:45:00	1013.850	67.820	8.791	4.920	2.583	7.470	-68.400	27.000	2.000	82.500	7.300	11.400	2.574
06/03/19 20:00:00	1013.650	67.970	8.920	5.000	2.652	7.480	-68.700	22.000	3.400	82.900	7.330	11.400	2.645
06/03/19 20:15:00	1014.150	67.690	9.084	5.100	2.714	7.440	-67.200	23.500	3.000	81.600	7.220	11.300	2.702
06/03/19 20:30:00	1014.050	67.760	9.152	5.140	2.762	7.450	-67.200	17.900	2.100	81.700	7.230	11.400	2.751
06/03/19 20:45:00	1014.450	67.790	9.151	5.140	2.807	7.430	-66.300	14.600	3.400	81.200	7.180	11.500	2.792
06/03/19 21:00:00	1014.050	67.760	9.175	5.160	2.845	7.400	-65.200	12.300	1.800	80.000	7.070	11.400	2.834
06/03/19 21:15:00	1014.250	67.740	9.194	5.170	2.878	7.380	-64.000	10.000	2.100	78.200	6.920	11.300	2.865
06/03/19 21:30:00	1014.050	67.680	9.217	5.180	2.896	7.330	-62.100	8.900	2.000	75.600	6.690	11.400	2.885
06/03/19 21:45:00	1014.550	67.650	9.217	5.180	2.905	7.320	-61.700	8.200	1.800	74.900	6.640	11.400	2.889
06/03/19 22:00:00	1014.450	67.660	9.217	5.180	2.911	7.290	-60.100	7.200	1.600	74.900	6.630	11.400	2.896
06/03/19 22:15:00	1014.850	67.330	9.226	5.190	2.909	7.260	-58.800	9.700	1.900	70.300	6.250	11.400	2.890
06/03/19 22:30:00	1014.850	67.370	9.196	5.170	2.898	7.270	-59.000	7.700	1.800	72.900	6.470	11.400	2.879
06/03/19 22:45:00	1015.050	67.280	9.169	5.150	2.871	7.240	-58.000	8.800	2.000	58.800	5.230	11.400	2.850
06/03/19 23:00:00	1014.850	66.810	9.185	5.160	2.837	7.250	-58.100	9.500	2.000	54.600	4.880	11.400	2.818
06/03/19 23:15:00	1015.050	66.480	9.169	5.150	2.785	7.250	-58.300	22.100	2.300	62.000	5.570	11.400	2.764
06/03/19 23:30:00	1015.250	66.360	9.290	5.230	2.739	7.270	-58.900	16.200	2.800	67.500	6.060	11.400	2.716
06/03/19 23:45:00	1015.350	66.180	9.150	5.140	2.679	7.240	-57.600	13.900	0.700	60.000	5.400	11.400	2.655
06/04/19 00:00:00	1015.250	66.090	9.240	5.200	2.612	7.240	-57.600	14.700	2.100	64.400	5.800	11.400	2.589
06/04/19 00:15:00	1015.250	65.950	9.023	5.070	2.523	7.230	-57.500	4.000	1.300	55.200	4.980	11.400	2.500
06/04/19 00:30:00	1015.250	65.840	8.870	4.980	2.433	7.140	-53.200	2.800	1.400	50.700	4.580	11.400	2.410
06/04/19 00:45:00	1015.350	65.940	8.756	4.910	2.341	7.080	-50.500	9.600	1.000	37.200	3.370	11.400	2.317
06/04/19 01:00:00	1015.250	66.090	8.582	4.800	2.255	7.070	-50.100	11.100	0.600	41.100	3.710	11.400	2.232
06/04/19 01:15:00	1015.550	66.120	8.452	4.720	2.172	7.170	-54.500	13.900	1.600	63.800	5.760	11.400	2.146
06/04/19 01:30:00	1015.250	66.120	8.377	4.680	2.101	7.160	-54.300	9.800	1.600	52.400	4.730	11.400	2.078
06/04/19 01:45:00	1015.550	66.090	8.339	4.660	2.033	7.090	-50.800	3.100	1.100	27.900	2.520	11.400	2.007
06/04/19 02:00:00	1016.050	65.880	8.317	4.640	1.972	7.150	-53.600	10.700	1.200	61.200	5.550	11.400	1.941
06/04/19 02:15:00	1016.250	65.870	8.428	4.710	1.900	7.190	-55.400	11.100	2.100	67.200	6.090	11.400	1.867
06/04/19 02:30:00	1016.050	65.910	8.325	4.650	1.834	7.100	-51.300	5.600	1.800	29.100	2.640	11.400	1.803
06/04/19 02:45:00	1016.250	65.870	8.260	4.610	1.766	7.020	-47.700	-0.700	1.200	15.200	1.380	11.500	1.733
06/04/19 03:00:00	1016.050	65.830	8.242	4.600	1.711	6.990	-46.300	-0.900	1.400	12.500	1.130	11.400	1.680
06/04/19 03:15:00	1016.150	65.780	8.229	4.590	1.657	6.960	-45.100	-1.200	1.700	11.500	1.050	11.300	1.625
06/04/19 03:30:00	1016.450	65.730	8.219	4.580	1.609	6.940	-44.300	-1.000	1.400	10.600	0.960	11.300	1.574
06/04/19 03:45:00	1016.350	65.650	8.199	4.570	1.572	6.930	-43.700	-1.100	0.600	9.900	0.900	11.300	1.538
06/04/19 04:00:00	1016.450	65.590	8.171	4.560	1.546	6.920	-43.300	-1.500	1.100	9.300	0.850	11.400	1.511
06/04/19 04:15:00	1016.750	65.550	8.139	4.540	1.520	6.920	-43.100	-1.200	1.500	8.400	0.760	11.400	1.482
06/04/19 04:30:00	1016.850	65.500	8.107	4.520	1.503	6.910	-42.900	-1.400	1.600	7.900	0.720	11.400	1.464
06/04/19 04:45:00	1017.050	65.460	8.100	4.510	1.506	6.910	-42.500	-1.700	1.400	6.400	0.580	11.400	1.465
06/04/19 05:00:00	1016.850	65.300	8.120	4.530	1.515	6.910	-42.600	-2.300	0.900	6.100	0.560	11.400	1.476
06/04/19 05:15:00	1017.250	65.090	8.127	4.530	1.537	6.910	-42.800	2.000	2.200	22.000	2.010	11.400	1.494
06/04/19 05:30:00	1017.250	65.040	8.340	4.660	1.574	7.050	-49.200	9.400	1.600	66.700	6.090	11.400	1.531
06/04/19 05:45:00	1017.450	64.920	8.644	4.840	1.629	7.210	-56.400	12.100	2.500	70.700	6.470	11.400	1.584
06/04/19 06:00:00	1017.650	64.680	8.820	4.950	1.689	7.210	-56.300	13.500	2.200	71.400	6.540	11.400	1.642
06/04/19 06:15:00	1017.950	64.620	8.832	4.950	1.745	7.260	-58.800	14.400	2.000	71.200	6.530	11.400	1.695
06/04/19 06:30:00	1018.050	64.510	8.896	4.990	1.812	7.250	-58.400	14.600	2.300	72.400	6.640	11.400	1.760
06/04/19 06:45:00	1018.250	64.450	8.756	4.910	1.892	7.260	-58.700	15.500	2.200	73.300	6.740	11.400	1.838
06/04/19 07:00:00	1018.050	65.280	8.069	4.500	1.967	7.310	-60.700	11.400	2.000	76.300	6.970	11.300	1.915
06/04/19 07:15:00	1018.750	64.730	8.531	4.770	2.045	7.310	-61.000	16.100	2.100	73.900	6.770	11.300	1.986
06/04/19 07:30:00	1018.450	64.570	8.742	4.900	2.126	7.290	-59.900	16.100	2.400	73.800	6.780	11.400	2.070
06/04/19 07:45:00	1018.450	64.640	8.760	4.910	2.202	7.290	-60.000	16.600	2.700	74.300	6.810	11.500	2.146
06/04/19 08:00:00	1018.450	64.800	8.752	4.910	2.272	7.330	-61.600	19.700	3.300	75.000	6.860	11.400	2.216
06/04/19 08:15:00	1018.650	64.810	8.763	4.910	2.345	7.320	-61.200	25.900	1.900	76.000	6.950	11.400	2.287
06/04/19 08:30:00	1018.450	64.640	8.782	4.920	2.407	7.330	-62.000	19.300	3.000	75.100	6.890	11.400	2.351
06/04/19 08:45:00	1018.150	64.720	8.794	4.930	2.475	7.330	-62.000	13.400	2.300	74.300	6.810	11.300	2.422
06/04/19 09:00:00	1017.650	65.020	8.794	4.930	2.545	7.330	-62.000	12.900	2.700	75.300	6.870	11.400	2.498
06/04/19 09:15:00	1017.450	65.030	8.775	4.920	2.601	7.340	-62.400	13.200	2.800	75.300	6.870	11.400	2.556
06/04/19 09:30:00	1018.050	65.170	8.768	4.910	2.646	7.350	-62.600	12.300	2.800	75.700	6.900	11.300	2.594
06/04/19 09:45:00	1017.950	65.240	8.781	4.920	2.689	7.350	-62.700	10.500	1.900	75.400	6.870	11.300	2.639
06/04/19 10:00:00	1017.650	65.290	8.782	4.920	2.707	7.380	-64.300	12.300	1.600	76.400	6.950	11.300	2.660
06/04/19 10:15:00	1017.650	65.390	8.774	4.920	2.716	7.400	-64.900	12.400	1.900	76.100	6.920	11.400	2.669
06/04/19 10:30:00	1017.650	65.480	8.786	4.930	2.721	7.380	-64.000	9.300	2.600	75.300	6.840	11.400	2.674
06/04/19 10:45:00	1017.450	65.490	8.794	4.930	2.711	7.380	-64.200	9.800	2.800	75.500	6.850	11.500	2.666
06/04/19 11:00:00	1016.850	65.650	8.653	4.850	2.700	7.390	-64.500	7.600	2.700	76.000	6.890	11.400	2.661
06/04/19 11:15:00	1016.850	65.870	8.576	4.800	2.676	7.370	-63.600	8.200	2.400	78.400	7.090	11.400	2.637
06/04/19 11:30:00	1016.850	65.870	8.540	4.780	2.644	7.360	-63.200	7.600	1.700	74.300	6.720	11.400	2.605
06/04/19 11:45:00	1016.450	65.960	8.564	4.790	2.593	7.340	-62.100	7.500	2.500	73.200	6.620	11.300	2.558
06/04/19 12:00:00	1016.050	65.830	8.529	4.770	2.534	7.340	-62.300	9.100	2.700	72.600	6.580	11.400	2.503
06/04/19 12:15:00	1015.750	66.130	8.584	4.800	2.475	7.370	-63.500	11.200	1.500	75.800	6.840	11.400	2.447
06/04/19 12:30:00	1015.650	65.790	8.845	4.960	2.401	7.380	-64.400	18.400	2.500	73.800	6.680	11.400	2.374
06/04/19 12:45:00	1015.550	65.750	8.882	4.980	2.306	7.360	-63.200	13.400	1.600	73.700	6.670	11.400	2.280
06/04/19 13:00:00	1015.250	65.990	8.806	4.940	2.218	7.330	-62.100	15.200	2.000	73.300	6.620	11.300	2.195
06/04/19 13:15:00	1015.150	66.490	8.678	4.860	2.136	7.340	-62.300	9.500	2.500	73.900	6.640	11.400	2.114
06/04/19 13:30:00	1014.950	67.040	8.516	4.760	2.050	7.340	-62.500	9.700	2.100	73.900	6.600	11.400	2.030
06/04/19 13:45:00	1014.850	67.050	8.490	4.750	1.972	7.310	-61.100	10.100	2.400	74.100	6.620	11.400	1.953
06/04/19 14:00:00	1014.450	67.300	8.472	4.730	1.897	7.350	-62.900	13.000	2.200	76.700	6.840	11.400	1.882
06/04/19 14:15:00	1014.150	67.410	8.426	4.710	1.822	7.340	-62.500	10.500	1.600	78.600	7.000	11.300	1.810
06/04/19 14:30:00	1014.450	67.570	8.390	4.680	1.762	7.320	-61.400	8.700	2.600	76.200	6.770	11.400	1.747
06/04/19 14:45:00	1014.050	67.760	8.346	4.660	1.706	7.380	-64.000	12.700	2.500	78.400	6.950	11.400	1.695
06/04/19 15:00:00	1013.650	67.960	8.334	4.650	1.640	7.380	-64.200	8.500	2.400	78.800	6.970	11.400	1.633
06/04/19 15:15:00	1013.650	68.170	8.310	4.640	1.585	7.350	-62.900	7.300	1.300	79.100	6.990	11.400	1.578
06/04/19 15:30:00	1013.650	68.330	8.247	4.600	1.538	7.370	-63.600	10.600	2.200	78.900	6.950	11.400	1.531
06/04/19 15:45:00	1013.750	68.440	8.239	4.590	1.503	7.390	-64.900	9.800	2.500	79.800	7.030	11.400	1.495
06/04/19 16:00:00	1012.850	68.560	8.267	4.610	1.471	7.400	-65.100	7.700	1.800	81.700	7.190	11.400	1.473
06/04/19 16:15:00	1013.050	68.750	8.252	4.600	1.456	7.410	-65.600	9.700	2.400	82.000	7.200	11.400	1.455
06/04/19 16:30:00	1012.850	68.910	8.320	4.640	1.449	7.400	-65.300	7.600	3.200	81.900	7.170	11.400	1.451
06/04/19 16:45:00	1013.050	68.900	8.260	4.600	1.458	7.420	-66.100	6.800	2.300	81.900	7.180	11.400	1.457
06/04/19 17:00:00	1012.850	68.960	8.279	4.610	1.486	7.390	-64.800	7.200	2.900	82.200	7.190	11.300	1.488
06/04/19 17:15:00	1013.150	68.850	8.242	4.590	1.534	7.360	-63.400	8.200	2.600	81.900	7.190	11.400	1.532
06/04/19 17:30:00	1013.250	69.200	8.334	4.650	1.585	7.370	-63.800	11.000	2.900	82.600	7.210	11.400	1.582
06/04/19 17:45:00	1013.050	69.410	8.378	4.670	1.655	7.380	-64.400	12.200	2.800	85.300	7.430	11.300	1.654
06/04/19 18:00:00	1012.850	69.720	8.535	4.770	1.729	7.440	-66.900	18.300	2.800	86.300	7.480	11.400	1.731
06/04/19 18:15:00	1013.450	68.510	8.204	4.570	1.808	7.360	-63.400	20.600	2.800	80.900	7.120	11.400	1.803
06/04/19 18:30:00	1013.250	68.470	8.217	4.580	1.898	7.340	-62.300	19.400	2.900	79.800	7.020	11.400	1.895
06/04/19 18:45:00	1013.150	68.430	8.216	4.580	1.980	7.350	-62.700	25.800	2.700	81.800	7.210	11.300	1.978
06/04/19 19:00:00	1013.250	68.380	8.256	4.600	2.068	7.350	-62.700	25.700	2.800	81.200	7.160	11.300	2.065
06/04/19 19:15:00	1013.150	68.440	8.394	4.680	2.158	7.370	-63.600	21.400	2.000	81.300	7.160	11.400	2.156
06/04/19 19:30:00	1012.850	68.720	8.470	4.730	2.244	7.370	-63.800	23.300	2.700	80.800	7.090	11.400	2.246
06/04/19 19:45:00	1013.350	68.670	8.345	4.660	2.333	7.380	-64.400	22.400	3.100	81.800	7.180	11.300	2.329
06/04/19 20:00:00	1012.850	68.760	8.303	4.630	2.422	7.410	-65.500	15.200	2.900	81.400	7.140	11.300	2.424
06/04/19 20:15:00	1013.250	68.630	8.301	4.630	2.511	7.390	-64.500	18.100	3.100	83.200	7.310	11.300	2.508
06/04/19 20:30:00	1012.850	68.680	8.305	4.630	2.592	7.390	-64.700	15.500	1.800	82.200	7.220	11.500	2.594
06/04/19 20:45:00	1013.450	68.560	8.378	4.670	2.666	7.370	-63.600	17.800	3.300	81.000	7.120	11.400	2.661
06/04/19 21:00:00	1013.250	68.580	8.436	4.710	2.728	7.360	-63.400	16.700	3.000	78.600	6.910	11.400	2.725
06/04/19 21:15:00	1013.450	68.610	8.514	4.760	2.781	7.370	-63.800	13.600	2.700	82.300	7.230	11.400	2.776
06/04/19 21:30:00	1012.850	68.590	8.582	4.800	2.827	7.330	-62.000	14.500	3.200	80.800	7.100	11.400	2.829
06/04/19 21:45:00	1013.250	68.520	8.646	4.840	2.866	7.320	-61.600	14.900	2.400	80.100	7.030	11.400	2.863
06/04/19 22:00:00	1012.850	68.500	8.668	4.850	2.898	7.310	-61.100	10.300	2.300	78.100	6.860	11.400	2.900
06/04/19 22:15:00	1013.050	68.490	8.672	4.850	2.915	7.290	-60.000	11.800	2.800	75.400	6.630	11.400	2.914
06/04/19 22:30:00	1012.850	68.480	8.653	4.840	2.924	7.280	-59.500	9.800	2.700	75.000	6.600	11.400	2.926
06/04/19 22:45:00	1013.050	68.410	8.650	4.840	2.923	7.260	-58.900	7.800	2.000	72.500	6.380	11.300	2.922
06/04/19 23:00:00	1012.050	68.260	8.654	4.840	2.918	7.240	-57.900	9.100	2.800	66.400	5.850	11.400	2.928
06/04/19 23:15:00	1012.450	67.950	8.665	4.850	2.897	7.200	-55.900	9.100	1.800	69.800	6.170	11.400	2.903
06/04/19 23:30:00	1012.450	67.800	8.644	4.840	2.871	7.160	-54.200	7.800	1.800	64.700	5.730	11.400	2.877
06/04/19 23:45:00	1012.450	67.230	8.624	4.830	2.832	7.130	-52.700	3.900	1.100	48.700	4.340	11.400	2.838
06/05/19 00:00:00	1012.450	66.740	8.577	4.800	2.787	7.070	-50.000	0.500	1.700	38.500	3.450	11.300	2.793
06/05/19 00:15:00	1012.550	66.290	8.492	4.750	2.731	7.040	-48.600	0.600	1.900	33.600	3.030	11.400	2.736
06/05/19 00:30:00	1012.050	66.210	8.420	4.700	2.673	7.030	-48.000	0.300	1.800	31.600	2.850	11.400	2.683
06/05/19 00:45:00	1012.350	66.110	8.354	4.670	2.601	7.030	-48.100	0.700	1.200	32.000	2.890	11.300	2.608
06/05/19 01:00:00	1012.150	66.000	8.334	4.650	2.524	7.020	-47.700	0.600	1.400	29.700	2.690	11.400	2.533
06/05/19 01:15:00	1012.450	65.930	8.328	4.650	2.443	7.010	-47.300	-0.900	1.800	27.700	2.510	11.400	2.449
06/05/19 01:30:00	1012.050	65.970	8.321	4.650	2.349	7.010	-47.100	-1.200	1.900	28.400	2.570	11.400	2.359
06/05/19 01:45:00	1012.250	66.290	8.315	4.640	2.271	7.000	-47.000	7.700	1.100	28.300	2.550	11.400	2.279
06/05/19 02:00:00	1012.050	66.400	8.316	4.640	2.192	7.060	-49.400	9.600	2.200	41.000	3.690	11.400	2.202
06/05/19 02:15:00	1012.050	66.390	8.353	4.660	2.110	7.140	-53.300	12.600	2.400	65.700	5.920	11.300	2.120
06/05/19 02:30:00	1012.050	66.500	8.442	4.720	2.047	7.230	-57.100	13.400	1.900	58.900	5.300	11.400	2.057
06/05/19 02:45:00	1011.850	66.570	8.787	4.920	1.976	7.260	-58.800	15.000	2.600	65.700	5.900	11.300	1.988
06/05/19 03:00:00	1011.650	66.530	8.883	4.980	1.909	7.310	-61.200	13.800	1.000	72.600	6.510	11.400	1.923
06/05/19 03:15:00	1011.750	66.490	8.863	4.970	1.837	7.300	-60.400	12.000	2.700	70.000	6.290	11.400	1.850
06/05/19 03:30:00	1011.250	66.580	8.820	4.940	1.768	7.300	-60.400	14.500	2.300	72.100	6.470	11.400	1.786
06/05/19 03:45:00	1011.050	66.600	8.780	4.920	1.707	7.330	-61.700	15.800	3.000	72.300	6.480	11.300	1.727
06/05/19 04:00:00	1011.250	66.560	8.690	4.870	1.649	7.350	-62.600	18.700	3.400	73.700	6.610	11.400	1.667
06/05/19 04:15:00	1011.050	66.540	8.668	4.850	1.607	7.340	-62.400	15.300	2.000	73.100	6.560	11.300	1.627
06/05/19 04:30:00	1010.850	66.550	8.651	4.840	1.563	7.350	-63.000	19.800	3.200	74.200	6.660	11.400	1.585
06/05/19 04:45:00	1011.050	66.490	8.657	4.850	1.527	7.370	-63.800	23.600	2.900	73.900	6.640	11.300	1.547
06/05/19 05:00:00	1011.250	66.390	8.629	4.830	1.499	7.380	-64.000	24.400	3.100	74.000	6.660	11.400	1.517
06/05/19 05:15:00	1011.550	66.220	8.638	4.840	1.483	7.360	-63.300	22.900	2.000	75.200	6.770	11.400	1.498
06/05/19 05:30:00	1011.650	66.090	8.650	4.840	1.471	7.370	-63.700	23.500	2.900	75.200	6.790	11.300	1.485
06/05/19 05:45:00	1011.750	66.070	8.601	4.810	1.472	7.360	-63.400	27.300	3.300	75.400	6.810	11.300	1.485
06/05/19 06:00:00	1011.650	66.000	8.595	4.810	1.487	7.340	-62.500	22.800	2.700	75.300	6.800	11.300	1.501
06/05/19 06:15:00	1011.550	65.880	8.620	4.830	1.518	7.340	-62.400	31.100	3.500	74.700	6.760	11.400	1.533
06/05/19 06:30:00	1011.650	65.880	8.587	4.810	1.565	7.330	-62.100	29.000	3.300	74.300	6.720	11.400	1.579
06/05/19 06:45:00	1011.650	65.760	8.562	4.790	1.619	7.330	-62.000	31.700	3.700	75.200	6.810	11.400	1.633
06/05/19 07:00:00	1011.250	65.730	8.499	4.750	1.683	7.330	-62.000	30.100	3.400	75.600	6.860	11.400	1.701
06/05/19 07:15:00	1011.450	65.760	8.494	4.750	1.743	7.340	-62.300	28.300	4.000	75.500	6.840	11.400	1.759
06/05/19 07:30:00	1011.250	65.770	8.512	4.760	1.810	7.330	-61.800	32.700	3.100	75.200	6.810	11.400	1.828
06/05/19 07:45:00	1010.950	65.800	8.463	4.730	1.882	7.330	-62.100	45.100	4.600	77.000	6.970	11.400	1.903
06/05/19 08:00:00	1010.850	65.940	8.259	4.610	1.960	7.360	-63.200	34.200	3.200	78.400	7.100	11.300	1.982
06/05/19 08:15:00	1010.650	65.710	8.539	4.780	2.040	7.290	-60.200	45.500	2.300	75.200	6.820	11.300	2.064
06/05/19 08:30:00	1010.050	65.810	8.594	4.810	2.109	7.270	-59.300	53.200	3.400	75.800	6.870	11.300	2.139
06/05/19 08:45:00	1010.450	65.900	8.583	4.800	2.180	7.270	-59.300	47.900	4.100	76.000	6.880	11.300	2.206
06/05/19 09:00:00	1009.650	66.020	8.568	4.790	2.257	7.270	-59.200	44.300	3.100	74.900	6.770	11.400	2.291
06/05/19 09:15:00	1009.950	66.090	8.547	4.780	2.331	7.260	-58.800	36.000	4.800	75.000	6.770	11.400	2.362
06/05/19 09:30:00	1010.050	66.110	8.541	4.780	2.399	7.240	-57.900	42.900	4.100	75.100	6.780	11.400	2.429
06/05/19 09:45:00	1009.950	66.190	8.601	4.810	2.470	7.230	-57.100	38.300	4.700	74.800	6.740	11.400	2.501
06/05/19 10:00:00	1009.650	66.220	8.575	4.800	2.531	7.260	-58.700	34.900	3.900	75.700	6.820	11.300	2.565
06/05/19 10:15:00	1009.550	66.260	8.583	4.800	2.575	7.250	-58.100	28.100	3.800	75.600	6.810	11.400	2.610
06/05/19 10:30:00	1009.250	66.480	8.621	4.820	2.616	7.240	-57.800	31.500	3.900	74.900	6.730	11.400	2.654
06/05/19 10:45:00	1009.450	66.620	8.658	4.850	2.640	7.240	-57.700	27.100	2.900	76.000	6.820	11.400	2.676
06/05/19 11:00:00	1009.250	66.710	8.706	4.880	2.658	7.270	-59.100	23.000	3.700	76.300	6.830	11.400	2.696
06/05/19 11:15:00	1009.250	66.820	8.790	4.930	2.665	7.260	-58.900	19.900	2.800	75.600	6.770	11.300	2.703
06/05/19 11:30:00	1008.850	66.890	8.834	4.950	2.662	7.260	-58.600	19.500	3.100	73.800	6.590	11.400	2.704
06/05/19 11:45:00	1008.650	66.590	8.716	4.880	2.646	7.250	-58.100	14.300	3.000	70.800	6.360	11.300	2.690
06/05/19 12:00:00	1008.450	66.400	8.601	4.810	2.622	7.230	-57.500	12.800	3.800	69.000	6.210	11.400	2.668
06/05/19 12:15:00	1008.350	66.400	8.565	4.790	2.584	7.230	-57.400	16.600	2.400	71.100	6.400	11.400	2.631
06/05/19 12:30:00	1007.650	66.270	8.518	4.760	2.537	7.230	-57.300	16.100	3.200	68.600	6.190	11.300	2.592
06/05/19 12:45:00	1007.750	66.420	8.555	4.790	2.483	7.250	-58.000	15.500	2.600	71.100	6.400	11.400	2.537
06/05/19 13:00:00	1007.250	66.450	8.560	4.790	2.423	7.240	-57.900	14.800	3.000	71.500	6.430	11.400	2.482
06/05/19 13:15:00	1007.150	66.470	8.555	4.790	2.351	7.250	-58.300	15.100	2.400	72.300	6.500	11.400	2.411
06/05/19 13:30:00	1006.850	66.630	8.508	4.760	2.263	7.300	-60.500	15.400	2.400	72.000	6.460	11.400	2.326
06/05/19 13:45:00	1006.850	66.750	8.442	4.720	2.172	7.360	-63.300	22.400	2.400	75.400	6.760	11.300	2.235
06/05/19 14:00:00	1006.050	67.140	8.354	4.660	2.088	7.360	-63.300	14.500	3.300	75.300	6.720	11.300	2.159
06/05/19 14:15:00	1006.250	67.280	8.314	4.640	1.998	7.340	-62.500	13.500	3.500	75.100	6.700	11.400	2.067
06/05/19 14:30:00	1006.050	67.600	8.266	4.610	1.924	7.370	-63.700	31.800	3.800	76.700	6.820	11.400	1.995
06/05/19 14:45:00	1005.950	67.780	8.264	4.610	1.854	7.380	-64.400	14.000	3.200	77.000	6.830	11.300	1.926
06/05/19 15:00:00	1005.650	67.840	8.262	4.610	1.783	7.340	-62.400	12.200	3.500	76.200	6.760	11.400	1.858
06/05/19 15:15:00	1005.650	67.890	8.261	4.610	1.719	7.310	-61.000	12.500	3.200	74.800	6.630	11.400	1.794
06/05/19 15:30:00	1005.250	68.150	8.243	4.590	1.656	7.300	-60.600	12.300	3.600	77.500	6.850	11.300	1.735
06/05/19 15:45:00	1005.250	68.800	8.296	4.630	1.593	7.360	-63.300	16.500	3.500	78.000	6.840	11.400	1.672
